,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.1562483,118013.65608174,964500.0,0.0,995200.0,BID
1,1712689620.192876,118013.65608174,964500.0,0.0,995200.0,BID
2,1712689630.942418,118015.28862813,964400.0,1.2630258268350309e-11,995200.0,BID
3,1712689630.9440875,118016.76650164,964400.0,1.1433625551813595e-11,995200.0,BID
4,1712689632.3371136,118017.76650164,963400.0,-7.736538664824992e-12,995200.0,ASK
5,1712689638.8821356,118017.79727402,963400.0,-2.380717077325742e-13,995200.0,ASK
6,1712689639.902019,118019.12079159,963500.0,1.0239444853846187e-11,995200.0,BID
7,1712689643.012027,118019.13738049,964500.0,1.2834066629903988e-13,995200.0,BID
8,1712689646.412359,118019.60032534,964700.0,3.581590731636129e-12,995200.0,BID
9,1712689646.4138715,118019.65476459,964500.0,4.2117136252029974e-13,995200.0,BID
10,1712689649.9625452,118020.31330973,963500.0,-5.094859938161066e-12,995200.0,ASK
11,1712689649.9661825,118020.65476459,963500.0,-2.6416787266639257e-12,995200.0,ASK
12,1712689650.2118866,118020.65476459,963500.0,-0.0,995200.0,ASK
13,1712689653.742944,118020.76753654,963400.0,-8.72419015651139e-13,995200.0,ASK
14,1712689653.744593,118021.2565386,963400.0,-3.782985891514977e-12,995200.0,ASK
15,1712689653.762069,118021.4336408,963400.0,1.3700865062062338e-12,995200.0,BID
16,1712689662.8418074,118029.73048781,964400.0,6.418552752706409e-11,995200.0,BID
17,1712689675.9543672,118030.14469986,963400.0,-3.2044002866996144e-12,995200.0,ASK
18,1712689680.2132435,118030.14469986,963400.0,-0.0,995200.0,ASK
19,1712689689.6622937,118030.18621947,963400.0,-3.211785658994905e-13,995200.0,ASK
20,1712689689.6725624,118031.29507088,963400.0,-8.577616835118215e-12,995200.0,ASK
21,1712689689.6741152,118031.51361323,963200.0,-1.690553417291653e-12,995200.0,ASK
22,1712689689.675731,118031.58095448,963400.0,-5.2092411527266e-13,995200.0,ASK
23,1712689689.676976,118031.89193198,963300.0,-2.405593585668421e-12,995200.0,ASK
