,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.1393,138580967.41172177,21.9,0.0,22.74,ASK
1,1712689620.3250144,138580967.41172177,21.9,-0.0,22.74,ASK
2,1712689650.3361876,138580967.41172177,21.9,-0.0,22.74,ASK
3,1712689680.3356287,138580967.41172177,21.9,-0.0,22.74,ASK
4,1712689710.3347747,138580967.41172177,21.9,-0.0,22.74,ASK
5,1712689740.516546,138580967.41172177,21.9,-0.0,22.74,ASK
6,1712689770.4955156,138580967.41172177,21.9,-0.0,22.74,ASK
7,1712689800.3348496,138580967.41172177,21.9,-0.0,22.74,ASK
8,1712689830.3365867,138580967.41172177,21.9,-0.0,22.74,ASK
9,1712689860.495194,138580967.41172177,21.9,-0.0,22.74,ASK
10,1712689890.4950745,138580967.41172177,21.9,-0.0,22.74,ASK
11,1712689920.3164055,138580967.41172177,21.9,-0.0,22.74,ASK
12,1712689950.3365738,138580967.41172177,21.9,-0.0,22.74,ASK
13,1712689980.485071,138580967.41172177,21.9,-0.0,22.74,ASK
14,1712690010.496608,138580967.41172177,21.9,-0.0,22.74,ASK
15,1712690040.3165095,138580967.41172177,21.9,-0.0,22.74,ASK
16,1712690070.31653,138580967.41172177,21.9,-0.0,22.74,ASK
17,1712690100.3568442,138580967.41172177,21.9,-0.0,22.74,ASK
18,1712690130.3149369,138580967.41172177,21.9,-0.0,22.74,ASK
19,1712690160.4865334,138580967.41172177,21.9,-0.0,22.74,ASK
20,1712690190.545187,138580967.41172177,21.9,-0.0,22.74,ASK
21,1712690217.7452276,138585560.88898405,21.9,-1.3368282761607092e-06,22.74,ASK
22,1712690220.3268845,138585560.88898405,21.9,-0.0,22.74,ASK
23,1712690250.3771155,138585560.88898405,21.9,-0.0,22.74,ASK
24,1712690280.476741,138585560.88898405,21.9,-0.0,22.74,ASK
25,1712690310.4966702,138585560.88898405,21.9,-0.0,22.74,ASK
26,1712690340.3250942,138585560.88898405,21.9,-0.0,22.74,ASK
27,1712690370.3365364,138585560.88898405,21.9,-0.0,22.74,ASK
28,1712690400.35503,138585560.88898405,21.9,-0.0,22.74,ASK
29,1712690430.331633,138585560.88898405,21.9,-0.0,22.74,ASK
30,1712690444.515225,138590098.0940657,22.04,1.3204289962588444e-06,22.74,BID
31,1712690460.486015,138590098.0940657,22.04,0.0,22.74,BID
32,1712690490.4967997,138590098.0940657,22.04,0.0,22.74,BID
33,1712690520.327401,138590098.0940657,22.04,0.0,22.74,BID
34,1712690533.4653509,138590554.50666267,21.91,-1.3282249274324466e-07,22.74,ASK
35,1712690533.4667716,138635718.5320219,21.91,-1.314336736178564e-05,22.74,ASK
36,1712690550.3451643,138635718.5320219,21.91,-0.0,22.74,ASK
37,1712690580.4774022,138635718.5320219,21.91,-0.0,22.74,ASK
38,1712690610.495407,138635718.5320219,21.91,-0.0,22.74,ASK
39,1712690640.316817,138635718.5320219,21.91,-0.0,22.74,ASK
40,1712690670.3273633,138635718.5320219,21.91,-0.0,22.74,ASK
41,1712690700.494871,138635718.5320219,21.91,-0.0,22.74,ASK
42,1712690730.4968886,138635718.5320219,21.91,-0.0,22.74,ASK
43,1712690760.2948856,138635718.5320219,21.91,-0.0,22.74,ASK
44,1712690790.3248224,138635718.5320219,21.91,-0.0,22.74,ASK
45,1712690820.494795,138635718.5320219,21.91,-0.0,22.74,ASK
46,1712690850.5147085,138635718.5320219,21.91,-0.0,22.74,ASK
47,1712690880.3347013,138635718.5320219,21.91,-0.0,22.74,ASK
48,1712690910.3147044,138635718.5320219,21.91,-0.0,22.74,ASK
49,1712690940.4870243,138635718.5320219,21.91,-0.0,22.74,ASK
50,1712690970.4947755,138635718.5320219,21.91,-0.0,22.74,ASK
51,1712691000.396447,138635718.5320219,21.91,-0.0,22.74,ASK
52,1712691030.3164248,138635718.5320219,21.91,-0.0,22.74,ASK
53,1712691060.4761224,138635718.5320219,21.91,-0.0,22.74,ASK
54,1712691090.5054646,138635718.5320219,21.91,-0.0,22.74,ASK
55,1712691120.3443692,138635718.5320219,21.91,-0.0,22.74,ASK
56,1712691150.3161116,138635718.5320219,21.91,-0.0,22.74,ASK
57,1712691180.465965,138635718.5320219,21.91,-0.0,22.74,ASK
58,1712691210.4867833,138635718.5320219,21.91,-0.0,22.74,ASK
59,1712691240.314577,138635718.5320219,21.91,-0.0,22.74,ASK
60,1712691270.324485,138635718.5320219,21.91,-0.0,22.74,ASK
61,1712691300.4766216,138635718.5320219,21.91,-0.0,22.74,ASK
62,1712691330.4882295,138635718.5320219,21.91,-0.0,22.74,ASK
63,1712691360.3364332,138635718.5320219,21.91,-0.0,22.74,ASK
64,1712691390.344605,138635718.5320219,21.91,-0.0,22.74,ASK
65,1712691420.4745145,138635718.5320219,21.91,-0.0,22.74,ASK
66,1712691450.495571,138635718.5320219,21.91,-0.0,22.74,ASK
67,1712691480.306085,138635718.5320219,21.91,-0.0,22.74,ASK
68,1712691510.3142838,138635718.5320219,21.91,-0.0,22.74,ASK
69,1712691540.476722,138635718.5320219,21.91,-0.0,22.74,ASK
70,1712691570.4865909,138635718.5320219,21.91,-0.0,22.74,ASK
71,1712691600.324352,138635718.5320219,21.91,-0.0,22.74,ASK
72,1712691630.3263395,138635718.5320219,21.91,-0.0,22.74,ASK
73,1712691660.484951,138635718.5320219,21.91,-0.0,22.74,ASK
74,1712691690.4943123,138635718.5320219,21.91,-0.0,22.74,ASK
