,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.1257546,7774948.09639181,536.1,0.0,553.8,ASK
1,1712689620.332121,7774948.09639181,536.1,-0.0,553.8,ASK
2,1712689650.3422058,7774948.09639181,536.1,-0.0,553.8,ASK
3,1712689680.341746,7774948.09639181,536.1,-0.0,553.8,ASK
4,1712689710.3320532,7774948.09639181,536.1,-0.0,553.8,ASK
5,1712689740.5219448,7774948.09639181,536.1,-0.0,553.8,ASK
6,1712689770.501757,7774948.09639181,536.1,-0.0,553.8,ASK
7,1712689800.332152,7774948.09639181,536.1,-0.0,553.8,ASK
8,1712689830.342296,7774948.09639181,536.1,-0.0,553.8,ASK
9,1712689841.0520308,7774959.4533205,536.1,-2.376738986114706e-09,553.8,ASK
10,1712689860.5023146,7774959.4533205,536.1,-0.0,553.8,ASK
11,1712689890.502209,7774959.4533205,536.1,-0.0,553.8,ASK
12,1712689920.3221557,7774959.4533205,536.1,-0.0,553.8,ASK
13,1712689950.342088,7774959.4533205,536.1,-0.0,553.8,ASK
14,1712689980.4920826,7774959.4533205,536.1,-0.0,553.8,ASK
15,1712690010.5020587,7774959.4533205,536.1,-0.0,553.8,ASK
16,1712690040.3223948,7774959.4533205,536.1,-0.0,553.8,ASK
17,1712690056.4123666,7775097.3222825,536.1,-2.8852705548808124e-08,553.8,ASK
18,1712690056.4138932,7780230.93460674,536.1,-1.0743433666666338e-06,553.8,ASK
19,1712690070.3222227,7780230.93460674,536.1,-0.0,553.8,ASK
20,1712690100.3622725,7780230.93460674,536.1,-0.0,553.8,ASK
21,1712690130.312159,7780230.93460674,536.1,-0.0,553.8,ASK
22,1712690160.4920766,7780230.93460674,536.1,-0.0,553.8,ASK
23,1712690177.1921933,7782095.91030674,536.2,-3.9026771749599924e-07,553.8,ASK
24,1712690179.362424,7783960.30168935,536.1,-3.901454423297992e-07,553.8,ASK
25,1712690179.363438,7783960.30174467,536.2,-1.1576271787597048e-14,553.8,ASK
26,1712690179.3662405,7787220.64577185,536.1,-6.822646652928348e-07,553.8,ASK
27,1712690190.5523524,7787220.64577185,536.1,-0.0,553.8,ASK
28,1712690220.332229,7787220.64577185,536.1,-0.0,553.8,ASK
29,1712690250.3826134,7787220.64577185,536.1,-0.0,553.8,ASK
30,1712690280.4923005,7787220.64577185,536.1,-0.0,553.8,ASK
31,1712690310.5020142,7787220.64577185,536.1,-0.0,553.8,ASK
32,1712690340.3222065,7787220.64577185,536.1,-0.0,553.8,ASK
33,1712690340.5225055,7805866.92577185,536.3,-3.898892136896186e-06,553.8,ASK
34,1712690370.3424916,7805866.92577185,536.3,-0.0,553.8,ASK
35,1712690400.3522315,7805866.92577185,536.3,-0.0,553.8,ASK
36,1712690430.3327663,7805866.92577185,536.3,-0.0,553.8,ASK
37,1712690460.5022392,7805866.92577185,536.3,-0.0,553.8,ASK
38,1712690490.5022316,7805866.92577185,536.3,-0.0,553.8,ASK
39,1712690520.3321445,7805866.92577185,536.3,-0.0,553.8,ASK
40,1712690550.342941,7805866.92577185,536.3,-0.0,553.8,ASK
41,1712690580.4823098,7805866.92577185,536.3,-0.0,553.8,ASK
42,1712690610.5029624,7805866.92577185,536.3,-0.0,553.8,ASK
43,1712690640.3222604,7805866.92577185,536.3,-0.0,553.8,ASK
44,1712690670.3344522,7805866.92577185,536.3,-0.0,553.8,ASK
45,1712690681.302186,7805866.92583897,536.3,-1.4020964358475461e-14,553.8,ASK
46,1712690681.3037028,7805879.90719033,536.2,-2.7117469738165533e-09,553.8,ASK
47,1712690700.502186,7805879.90719033,536.2,-0.0,553.8,ASK
48,1712690716.2022524,7806699.05479033,536.2,-1.7113345292545105e-07,553.8,ASK
49,1712690716.2420497,7807517.87473129,536.2,-1.710649995443314e-07,553.8,ASK
50,1712690730.5121286,7807517.87473129,536.2,-0.0,553.8,ASK
51,1712690760.296722,7807517.87473129,536.2,-0.0,553.8,ASK
52,1712690790.321978,7807517.87473129,536.2,-0.0,553.8,ASK
53,1712690804.6222267,7807731.90159429,536.2,-4.47055411219924e-08,553.8,ASK
54,1712690804.6242614,7808385.97513129,536.2,-1.36621688489914e-07,553.8,ASK
55,1712690813.0719838,7808385.97517493,536.2,-9.115425544444756e-15,553.8,ASK
56,1712690813.0737534,7808628.15133129,536.2,-5.058531422261165e-08,553.8,ASK
57,1712690820.502009,7808628.15133129,536.2,-0.0,553.8,ASK
58,1712690824.2121792,7808639.8810963,536.2,-2.4497873053895024e-09,553.8,ASK
59,1712690824.2137997,7808993.34903129,536.2,-7.38225581892187e-08,553.8,ASK
60,1712690843.9448469,7809946.77714395,536.2,-1.9912556517462242e-07,553.8,ASK
61,1712690843.9459312,7809946.77728288,536.2,-2.9015846477175085e-14,553.8,ASK
62,1712690850.521865,7809946.77728288,536.2,-0.0,553.8,ASK
63,1712690857.3719602,7810380.355259,536.2,-9.054034710509364e-08,553.8,ASK
64,1712690880.3318307,7810380.355259,536.2,-0.0,553.8,ASK
65,1712690885.842548,7810858.32492554,536.2,-9.98054354005603e-08,553.8,ASK
66,1712690885.8443103,7813106.72733292,536.2,-4.694916789360233e-07,553.8,ASK
67,1712690885.845924,7815196.72733292,536.3,-4.364154769429265e-07,553.8,ASK
68,1712690885.847525,7816051.853159,536.2,-1.7855987810290006e-07,553.8,ASK
69,1712690910.3117542,7816051.853159,536.2,-0.0,553.8,ASK
70,1712690940.493315,7816051.853159,536.2,-0.0,553.8,ASK
71,1712690956.3320353,7817890.0884531,536.2,-3.8360057253071673e-07,553.8,ASK
72,1712690970.5047548,7817890.0884531,536.2,-0.0,553.8,ASK
73,1712691000.401738,7817890.0884531,536.2,-0.0,553.8,ASK
74,1712691030.321805,7817890.0884531,536.2,-0.0,553.8,ASK
75,1712691060.4921165,7817890.0884531,536.2,-0.0,553.8,ASK
76,1712691090.521556,7817890.0884531,536.2,-0.0,553.8,ASK
77,1712691120.3417058,7817890.0884531,536.2,-0.0,553.8,ASK
78,1712691150.3216114,7817890.0884531,536.2,-0.0,553.8,ASK
79,1712691180.471678,7817890.0884531,536.2,-0.0,553.8,ASK
80,1712691210.4918196,7817890.0884531,536.2,-0.0,553.8,ASK
81,1712691240.3119142,7817890.0884531,536.2,-0.0,553.8,ASK
82,1712691270.3219442,7817890.0884531,536.2,-0.0,553.8,ASK
83,1712691300.481919,7817890.0884531,536.2,-0.0,553.8,ASK
84,1712691330.491531,7817890.0884531,536.2,-0.0,553.8,ASK
85,1712691360.341651,7817890.0884531,536.2,-0.0,553.8,ASK
86,1712691390.3416932,7817890.0884531,536.2,-0.0,553.8,ASK
87,1712691420.4814537,7817890.0884531,536.2,-0.0,553.8,ASK
88,1712691450.501599,7817890.0884531,536.2,-0.0,553.8,ASK
89,1712691480.311691,7817890.0884531,536.2,-0.0,553.8,ASK
90,1712691510.311451,7817890.0884531,536.2,-0.0,553.8,ASK
91,1712691540.4815958,7817890.0884531,536.2,-0.0,553.8,ASK
92,1712691570.4915547,7817890.0884531,536.2,-0.0,553.8,ASK
93,1712691600.3213782,7817890.0884531,536.2,-0.0,553.8,ASK
94,1712691630.3322732,7817890.0884531,536.2,-0.0,553.8,ASK
95,1712691631.181792,7821379.22329198,536.5,-7.282369846821122e-07,553.8,ASK
96,1712691660.4917035,7821379.22329198,536.5,-0.0,553.8,ASK
97,1712691690.501742,7821379.22329198,536.5,-0.0,553.8,ASK
98,1712691720.331317,7821379.22329198,536.5,-0.0,553.8,ASK
99,1712691750.3219671,7821379.22329198,536.5,-0.0,553.8,ASK
100,1712691773.475401,7823479.22329198,536.7,-4.381316505342445e-07,553.8,ASK
101,1712691773.476278,7823979.22329198,536.6,-1.0431705965101057e-07,553.8,ASK
102,1712691773.477113,7825448.28678915,536.5,-3.06496768930784e-07,553.8,ASK
103,1712691780.4918137,7825448.28678915,536.5,-0.0,553.8,ASK
104,1712691810.541524,7825448.28678915,536.5,-0.0,553.8,ASK
105,1712691840.3113654,7825448.28678915,536.5,-0.0,553.8,ASK
106,1712691870.3212433,7825448.28678915,536.5,-0.0,553.8,ASK
107,1712691900.3616831,7825448.28678915,536.5,-0.0,553.8,ASK
108,1712691930.3312998,7825448.28678915,536.5,-0.0,553.8,ASK
109,1712691960.481648,7825448.28678915,536.5,-0.0,553.8,ASK
110,1712691990.4912198,7825448.28678915,536.5,-0.0,553.8,ASK
111,1712692020.3136082,7825448.28678915,536.5,-0.0,553.8,ASK
112,1712692050.3113642,7825448.28678915,536.5,-0.0,553.8,ASK
113,1712692063.641424,7826829.04024299,536.5,-2.8815910762719814e-07,553.8,ASK
114,1712692080.4711952,7826829.04024299,536.5,-0.0,553.8,ASK
115,1712692110.5014143,7826829.04024299,536.5,-0.0,553.8,ASK
116,1712692140.33138,7826829.04024299,536.5,-0.0,553.8,ASK
117,1712692170.3213725,7826829.04024299,536.5,-0.0,553.8,ASK
118,1712692200.3544652,7826829.04024299,536.5,-0.0,553.8,ASK
119,1712692230.331574,7826829.04024299,536.5,-0.0,553.8,ASK
120,1712692260.4915657,7826829.04024299,536.5,-0.0,553.8,ASK
121,1712692290.4911656,7826829.04024299,536.5,-0.0,553.8,ASK
122,1712692320.331438,7826829.04024299,536.5,-0.0,553.8,ASK
123,1712692350.331265,7826829.04024299,536.5,-0.0,553.8,ASK
124,1712692380.4813533,7826829.04024299,536.5,-0.0,553.8,ASK
125,1712692410.4915102,7826829.04024299,536.5,-0.0,553.8,ASK
126,1712692440.310702,7826829.04024299,536.5,-0.0,553.8,ASK
127,1712692470.3212702,7826829.04024299,536.5,-0.0,553.8,ASK
128,1712692500.4816625,7826829.04024299,536.5,-0.0,553.8,ASK
129,1712692530.5013075,7826829.04024299,536.5,-0.0,553.8,ASK
130,1712692560.331294,7826829.04024299,536.5,-0.0,553.8,ASK
131,1712692590.301308,7826829.04024299,536.5,-0.0,553.8,ASK
132,1712692620.491386,7826829.04024299,536.5,-0.0,553.8,ASK
133,1712692650.5010054,7826829.04024299,536.5,-0.0,553.8,ASK
134,1712692680.3825476,7826829.04024299,536.5,-0.0,553.8,ASK
135,1712692710.3298986,7826829.04024299,536.5,-0.0,553.8,ASK
136,1712692740.4692976,7826829.04024299,536.5,-0.0,553.8,ASK
137,1712692770.4891555,7826829.04024299,536.5,-0.0,553.8,ASK
138,1712692800.4082766,7826829.04024299,536.5,-0.0,553.8,ASK
139,1712692830.3173444,7826829.04024299,536.5,-0.0,553.8,ASK
140,1712692860.4872153,7826829.04024299,536.5,-0.0,553.8,ASK
141,1712692890.479982,7826829.04024299,536.5,-0.0,553.8,ASK
142,1712692920.3159628,7826829.04024299,536.5,-0.0,553.8,ASK
143,1712692950.3259444,7826829.04024299,536.5,-0.0,553.8,ASK
144,1712692980.4952683,7826829.04024299,536.5,-0.0,553.8,ASK
145,1712693010.4751408,7826829.04024299,536.5,-0.0,553.8,ASK
146,1712693040.2945032,7826829.04024299,536.5,-0.0,553.8,ASK
147,1712693070.3342652,7826829.04024299,536.5,-0.0,553.8,ASK
148,1712693086.3342197,7826848.04024299,536.6,-3.989083855150973e-09,553.8,ASK
149,1712693086.3366196,7826878.04024299,536.6,-6.2985534555015375e-09,553.8,ASK
150,1712693086.3387308,7836445.58486898,536.5,-2.008723042156502e-06,553.8,ASK
151,1712693086.3463025,7842783.06838216,536.6,-1.3305659560374983e-06,553.8,ASK
152,1712693086.3482928,7843732.35329235,536.5,-1.993040583777394e-07,553.8,ASK
153,1712693100.4840848,7843732.35329235,536.5,-0.0,553.8,ASK
154,1712693130.5135012,7843732.35329235,536.5,-0.0,553.8,ASK
155,1712693139.2639265,7843750.99262133,538.1,3.9059916919331024e-09,553.8,BID
156,1712693160.3232622,7843750.99262133,538.1,0.0,553.8,BID
