,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.1304915,15468167.89952473,576.8,0.0,612.0,BID
1,1712689620.2320342,15468167.89952473,576.8,0.0,612.0,BID
2,1712689650.242073,15468167.89952473,576.8,0.0,612.0,BID
3,1712689680.2420306,15468167.89952473,576.8,0.0,612.0,BID
4,1712689710.2324898,15468167.89952473,576.8,0.0,612.0,BID
5,1712689740.342064,15468167.89952473,576.8,0.0,612.0,BID
6,1712689770.352424,15468167.89952473,576.8,0.0,612.0,BID
7,1712689800.2422574,15468167.89952473,576.8,0.0,612.0,BID
8,1712689830.2420845,15468167.89952473,576.8,0.0,612.0,BID
9,1712689834.6120749,15469414.1283261,576.9,1.00172804486678e-07,612.0,BID
10,1712689837.2827442,15471346.64089213,576.9,1.5533680752058888e-07,612.0,BID
11,1712689837.2844694,15471832.80248002,576.9,3.9078032572460055e-08,612.0,BID
12,1712689839.4923708,15472213.80248002,577.0,3.062506537120485e-08,612.0,BID
13,1712689860.3524206,15472213.80248002,577.0,0.0,612.0,BID
14,1712689861.242126,15472869.85076769,577.0,5.272376080591633e-08,612.0,BID
15,1712689864.2419815,15473389.78144359,577.0,4.178457760952817e-08,612.0,BID
16,1712689865.8623426,15473401.92144359,576.8,-9.75639245226073e-10,612.0,ASK
17,1712689865.872083,15474213.08062829,576.0,-6.51893521153155e-08,612.0,ASK
18,1712689867.3522923,15475631.08824829,576.1,-1.1395913377537565e-07,612.0,ASK
19,1712689867.3731177,15479422.31834317,576.1,-3.046847502525008e-07,612.0,ASK
20,1712689867.3746362,15483581.74611017,576.0,-3.342752032099058e-07,612.0,ASK
21,1712689867.4526098,15483763.34977223,576.0,-1.4594700146158968e-08,612.0,ASK
22,1712689867.454177,15483815.43310517,576.0,-4.1857119964463165e-09,612.0,ASK
23,1712689884.0620944,15483827.57310517,576.8,9.756392450763804e-10,612.0,BID
24,1712689884.1619208,15483943.58870517,576.9,-9.323671533302888e-09,612.0,ASK
25,1712689885.251973,15484199.98840517,576.9,-2.0605733918529903e-08,612.0,ASK
26,1712689886.2721229,15484264.34340517,576.9,5.1719327532024215e-09,612.0,BID
27,1712689887.3821046,15484539.44750517,576.9,2.210892557409644e-08,612.0,BID
28,1712689888.4619486,15484603.59110517,576.9,5.154943450335868e-09,612.0,BID
29,1712689889.6219325,15484971.19530517,576.9,2.9542758172345173e-08,612.0,BID
30,1712689890.3422358,15484971.19530517,576.9,0.0,612.0,BID
31,1712689890.6130934,15485061.56115664,576.9,7.258024471958064e-09,612.0,BID
32,1712689890.6138425,15485106.19035236,576.9,3.584537626020885e-09,612.0,BID
33,1712689890.7528288,15485327.53810436,576.9,-1.7778257767894455e-08,612.0,ASK
34,1712689890.812071,15485327.53810517,576.9,-6.492828600017429e-17,612.0,ASK
35,1712689891.8320248,15485667.77870517,576.9,-2.732751986517116e-08,612.0,ASK
36,1712689892.8421874,15486014.15590517,576.9,-2.7820400662978963e-08,612.0,ASK
37,1712689894.0520823,15486347.33460517,576.9,-2.67603206168654e-08,612.0,ASK
38,1712689894.932081,15486413.96960517,576.9,-5.352004687870471e-09,612.0,ASK
39,1712689896.0522685,15486613.87650517,576.5,1.6056166668272187e-08,612.0,BID
40,1712689897.122386,15486813.78340517,576.5,1.6056166668272187e-08,612.0,BID
41,1712689898.1426027,15486880.41840517,576.5,5.352004687870471e-09,612.0,BID
42,1712689899.3322604,15486920.39840517,576.5,3.211122494547485e-09,612.0,BID
43,1712689900.2924995,15487205.66142977,576.5,2.2911818788048665e-08,612.0,BID
44,1712689900.3727949,15487453.48580477,576.9,-1.9904813037776265e-08,612.0,ASK
45,1712689900.374221,15487453.48580517,576.9,-3.21649343088421e-17,612.0,ASK
46,1712689901.6420364,15487853.30130517,576.9,-3.2112469877438535e-08,612.0,ASK
47,1712689902.7420068,15488213.96150517,576.9,-2.8967585820420573e-08,612.0,ASK
48,1712689913.972798,15488245.03661317,576.5,-2.4958974065891554e-09,612.0,ASK
49,1712689914.053285,15488245.03661358,576.5,-3.291295603695471e-17,612.0,ASK
50,1712689914.0547638,15488276.03661197,575.6,-2.48986473642116e-09,612.0,ASK
51,1712689914.0563705,15488276.03661236,576.0,-3.126730823510697e-17,612.0,ASK
52,1712689920.2222426,15488276.03661236,576.0,-0.0,612.0,ASK
53,1712689950.2319784,15488276.03661236,576.0,-0.0,612.0,ASK
54,1712689980.3425772,15488276.03661236,576.0,-0.0,612.0,ASK
55,1712690010.352147,15488276.03661236,576.0,-0.0,612.0,ASK
56,1712690040.2222388,15488276.03661236,576.0,-0.0,612.0,ASK
57,1712690070.222186,15488276.03661236,576.0,-0.0,612.0,ASK
58,1712690100.2622464,15488276.03661236,576.0,-0.0,612.0,ASK
59,1712690130.211974,15488276.03661236,576.0,-0.0,612.0,ASK
60,1712690160.342209,15488276.03661236,576.0,-0.0,612.0,ASK
61,1712690190.3925583,15488276.03661236,576.0,-0.0,612.0,ASK
62,1712690220.2322705,15488276.03661236,576.0,-0.0,612.0,ASK
63,1712690232.7426891,15488290.91977451,575.1,-1.1964159805906574e-09,612.0,ASK
64,1712690250.2724917,15488290.91977451,575.1,-0.0,612.0,ASK
65,1712690280.342621,15488290.91977451,575.1,-0.0,612.0,ASK
66,1712690310.3538475,15488290.91977451,575.1,-0.0,612.0,ASK
67,1712690340.2222812,15488290.91977451,575.1,-0.0,612.0,ASK
68,1712690355.8522985,15488464.26004145,576.9,1.3934332009501522e-08,612.0,BID
69,1712690370.242252,15488464.26004145,576.9,0.0,612.0,BID
70,1712690400.2621603,15488464.26004145,576.9,0.0,612.0,BID
71,1712690430.2321155,15488464.26004145,576.9,0.0,612.0,BID
72,1712690460.352239,15488464.26004145,576.9,0.0,612.0,BID
73,1712690466.7825804,15490601.26004145,576.0,1.7180057394561832e-07,612.0,BID
74,1712690490.352187,15490601.26004145,576.0,0.0,612.0,BID
75,1712690520.2329245,15490601.26004145,576.0,0.0,612.0,BID
76,1712690550.242687,15490601.26004145,576.0,0.0,612.0,BID
