,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.1719053,61557172.9063242,566.1,0.0,581.8,ASK
1,1712689620.1450477,61557172.9063242,566.1,-0.0,581.8,ASK
2,1712689644.9751709,61557891.79789413,566.1,-1.99266301560664e-08,581.8,ASK
3,1712689644.9770696,61559450.83108892,566.1,-4.3214135724050486e-08,581.8,ASK
4,1712689650.1548486,61559450.83108892,566.1,-0.0,581.8,ASK
5,1712689662.7753212,61561415.29095547,565.7,-5.44500279372355e-08,581.8,ASK
6,1712689662.875328,61568206.17016167,565.7,-1.88226580136889e-07,581.8,ASK
7,1712689665.5450854,61571484.72352412,565.7,-9.087348905379757e-08,581.8,ASK
8,1712689665.6251078,61572766.22397152,565.7,-3.5520061443244466e-08,581.8,ASK
9,1712689678.136429,61578547.98419924,565.7,-1.602562675302309e-07,581.8,ASK
10,1712689680.1748366,61578547.98419924,565.7,-0.0,581.8,ASK
11,1712689686.2949817,61581427.98419924,565.7,-7.980266748371939e-08,581.8,ASK
12,1712689686.3147788,61583827.98419924,565.7,-6.650222290309948e-08,581.8,ASK
13,1712689686.3950946,61585083.05540831,565.7,-3.47770938768934e-08,581.8,ASK
14,1712689686.435097,61586371.5633897,565.7,-3.570360207970838e-08,581.8,ASK
15,1712689686.51489,61587557.99789202,565.7,-3.2875221555463695e-08,581.8,ASK
16,1712689686.577412,61589022.14764641,565.7,-4.0570505554154224e-08,581.8,ASK
17,1712689686.6348605,61593267.97138167,565.7,-1.176486318539567e-07,581.8,ASK
18,1712689686.7160666,61595153.0033927,565.7,-5.2232841240266415e-08,581.8,ASK
19,1712689686.7175915,61596741.36113242,565.7,-4.4012216857084694e-08,581.8,ASK
20,1712689686.7549517,61605081.36113242,565.7,-2.310952245882707e-07,581.8,ASK
21,1712689686.7565312,61608946.88507659,565.7,-1.0711080623850581e-07,581.8,ASK
22,1712689686.775508,61611670.65267845,565.7,-7.547358341470999e-08,581.8,ASK
23,1712689686.777001,61613223.66084145,565.7,-4.303270626083485e-08,581.8,ASK
