,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.1847951,2720568766.902945,70.09,0.0,76.02,BID
1,1712689620.5549707,2720569850.30771,70.09,5.473421118013295e-09,76.02,BID
2,1712689621.0551815,2720570196.4188776,69.98,-1.748572861557193e-09,76.02,ASK
3,1712689621.056978,2720577441.338858,69.98,-3.6601738607825326e-08,76.02,ASK
4,1712689626.454956,2720599099.5910296,69.99,-1.0941869431477949e-07,76.02,ASK
5,1712689626.6451206,2720602232.847091,69.91,1.582938385305069e-08,76.02,BID
6,1712689626.685274,2720604571.9624534,69.91,1.1817340880193237e-08,76.02,BID
7,1712689626.7050169,2720607227.2620664,69.93,1.3414721297362353e-08,76.02,BID
8,1712689626.7065058,2720609872.6959724,69.93,1.3364879197399798e-08,76.02,BID
9,1712689646.7650652,2720613469.0663376,69.89,-1.8169063067047223e-08,76.02,ASK
10,1712689647.2649171,2720647277.080574,69.88,-1.707999678751941e-07,76.02,ASK
11,1712689647.545032,2720647420.2035165,69.87,-7.230650638424104e-10,76.02,ASK
12,1712689650.5650237,2720647420.2035165,69.87,-0.0,76.02,ASK
13,1712689662.675694,2720693903.7541747,69.84,-2.3483104757559285e-07,76.02,ASK
14,1712689662.6770055,2720748128.496443,69.84,-2.739389063661731e-07,76.02,ASK
15,1712689662.697154,2720755815.4836545,69.84,-3.88340226609872e-08,76.02,ASK
16,1712689664.746631,2720757959.413834,69.82,-1.083095768017346e-08,76.02,ASK
17,1712689677.017123,2720761276.21124,69.82,-1.675618575499982e-08,76.02,ASK
18,1712689677.2754366,2720780096.4544168,69.82,9.50783096016661e-08,76.02,BID
19,1712689679.0253358,2720781201.339104,69.81,-5.5817859180696715e-09,76.02,ASK
20,1712689679.0276196,2720798624.1936927,69.81,-8.801881820455626e-08,76.02,ASK
21,1712689680.5752563,2720798624.1936927,69.81,-0.0,76.02,ASK
22,1712689690.4852636,2720827913.432157,69.81,-1.479589139856516e-07,76.02,ASK
23,1712689699.645134,2720830775.0718765,69.89,1.4455995693731176e-08,76.02,BID
24,1712689710.5649085,2720830775.0718765,69.89,0.0,76.02,BID
25,1712689740.8752515,2720830775.0718765,69.89,0.0,76.02,BID
26,1712689748.2951484,2720837679.435151,69.81,-3.4878015329819725e-08,76.02,ASK
27,1712689759.3150933,2720847687.865903,69.81,-5.05584928409292e-08,76.02,ASK
28,1712689760.5449831,2720927744.8079863,69.81,-4.044148811700589e-07,76.02,ASK
29,1712689760.6658332,2720934516.5445666,69.81,-3.4208039592799906e-08,76.02,ASK
30,1712689761.1451886,2720966477.237349,69.81,-1.6145232927145049e-07,76.02,ASK
31,1712689761.3448963,2721013516.933461,69.81,-2.3762527793860858e-07,76.02,ASK
32,1712689761.4248638,2721061267.916908,69.81,-2.412184102161795e-07,76.02,ASK
33,1712689761.426499,2721072097.7500267,69.81,-5.470788116676082e-08,76.02,ASK
34,1712689761.4449291,2721074966.6810336,69.81,-1.4492664371765216e-08,76.02,ASK
35,1712689761.4651113,2721078143.677265,69.81,-1.6048883707356757e-08,76.02,ASK
36,1712689761.4668396,2721081007.8661423,69.81,-1.4468709074313852e-08,76.02,ASK
37,1712689761.4714053,2721085818.326132,69.81,-2.430047356818364e-08,76.02,ASK
38,1712689761.5450852,2721086923.3691115,69.8,-5.582224522950602e-09,76.02,ASK
39,1712689761.5467598,2721088028.412092,69.8,-5.5822245253593884e-09,76.02,ASK
40,1712689762.005156,2721088727.166511,69.74,-3.5298211261286078e-09,76.02,ASK
41,1712689762.0067112,2721090017.4890914,69.75,-6.518181177278745e-09,76.02,ASK
42,1712689762.1854734,2721092774.5336914,69.74,-1.3927460071265124e-08,76.02,ASK
43,1712689770.8548708,2721092774.5336914,69.74,-0.0,76.02,ASK
44,1712689777.2650132,2721103657.7080016,69.74,-5.497225997470842e-08,76.02,ASK
45,1712689777.2750757,2721106158.9975944,69.74,-1.2634323208012314e-08,76.02,ASK
46,1712689778.6754875,2721106158.997595,69.74,-2.408563483335764e-18,76.02,ASK
