,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.1525974,644993574794.7975,0.1048,0.0,0.1106,BID
1,1712689620.5118496,644993574794.7975,0.1048,0.0,0.1106,BID
2,1712689629.832107,645003116779.5304,0.1048,0.0001160287848754,0.1106,BID
3,1712689634.4521708,645021745647.5546,0.1048,0.000226523619661,0.1106,BID
4,1712689641.8419316,645026834329.1525,0.1048,-6.187743524529638e-05,0.1106,ASK
5,1712689650.5222042,645026834329.1525,0.1048,-0.0,0.1106,ASK
6,1712689655.7220623,645027025073.475,0.1048,2.3193176871350648e-06,0.1106,BID
7,1712689658.011789,645030025073.475,0.1048,3.64779038760064e-05,0.1106,BID
8,1712689672.8121295,645085154022.2869,0.1047,-0.0006703294985151,0.1106,ASK
9,1712689672.8218112,645090025073.475,0.1047,-5.922857900499872e-05,0.1106,ASK
10,1712689680.5319965,645090025073.475,0.1047,-0.0,0.1106,ASK
11,1712689684.6223164,645090120493.3223,0.1048,1.1601453379556191e-06,0.1106,BID
12,1712689695.792291,645092092320.7487,0.1048,2.397411503948244e-05,0.1106,BID
13,1712689696.1964743,645092187831.7324,0.1047,-1.1612534046643656e-06,0.1106,ASK
14,1712689696.1989837,645100961325.2047,0.1047,-0.000106670968761,0.1106,ASK
15,1712689696.200224,645102092320.7487,0.1047,-1.3751009300700344e-05,0.1106,ASK
16,1712689706.7617984,645107119781.4838,0.1048,6.112549222449523e-05,0.1106,BID
17,1712689710.513389,645107119781.4838,0.1048,0.0,0.1106,BID
18,1712689740.81244,645107119781.4838,0.1048,0.0,0.1106,BID
19,1712689742.6926978,645107310621.1783,0.1048,2.320240164778437e-06,0.1106,BID
20,1712689749.7121916,645107534735.472,0.1047,-2.7247946864021714e-06,0.1106,ASK
21,1712689749.722077,645112035357.1783,0.1047,-5.4718821848912696e-05,0.1106,ASK
22,1712689770.782161,645112035357.1783,0.1047,-0.0,0.1106,ASK
23,1712689771.772574,645113877014.158,0.1048,2.23908331259024e-05,0.1106,BID
24,1712689800.514021,645114354113.3945,0.1047,-5.80056411635491e-06,0.1106,ASK
25,1712689800.5218415,645114354113.3945,0.1047,-0.0,0.1106,ASK
26,1712689801.4321487,645114666345.0533,0.1047,-3.798466684840781e-06,0.1106,ASK
27,1712689801.4335537,645141414390.5079,0.1047,-0.0003254044126401,0.1106,ASK
28,1712689806.1121564,645142368588.9812,0.1048,1.1608339542513688e-05,0.1106,BID
29,1712689806.712241,645143441590.6554,0.1047,-1.3053644616609418e-05,0.1106,ASK
30,1712689809.2621672,645143584311.8733,0.1047,-1.736280662429063e-06,0.1106,ASK
31,1712689809.4222658,645143727033.0912,0.1047,-1.736280662429063e-06,0.1106,ASK
32,1712689830.5220234,645143727033.0912,0.1047,-0.0,0.1106,ASK
33,1712689849.0321825,645144957431.9169,0.1048,1.4967905918815811e-05,0.1106,BID
34,1712689860.782759,645144957431.9169,0.1048,0.0,0.1106,BID
35,1712689866.8724358,645146129819.5814,0.1048,1.426217285841492e-05,0.1106,BID
36,1712689867.0322244,645147382581.7725,0.1048,1.5239934246447156e-05,0.1106,BID
37,1712689875.33202,645149359155.6018,0.1048,2.4045150314976287e-05,0.1106,BID
38,1712689875.572013,645152221751.0216,0.1048,3.482366109382009e-05,0.1106,BID
39,1712689875.7319589,645153518774.6526,0.1048,1.5778377567282134e-05,0.1106,BID
40,1712689875.8318489,645155078637.4576,0.1048,1.8975833364480428e-05,0.1106,BID
41,1712689876.5721836,645156846371.0682,0.1048,2.1504595352089547e-05,0.1106,BID
