,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
0,BTC/USDT:USDT,1692370367344,2023-08-18T14:52:47.344Z,28500.0,24581.0,,,,,26919.45,28406.7,26189.6,26189.6,,-2217.1,-7.805,27298.15,909530.42,24484057488.52,"{'symbol': 'BTCUSDT', 'priceChange': '-2217.10', 'priceChangePercent': '-7.805', 'weightedAvgPrice': '26919.45', 'lastPrice': '26189.60', 'lastQty': '0.498', 'openPrice': '28406.70', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '909530.420', 'quoteVolume': '24484057488.52', 'openTime': '1692283920000', 'closeTime': '1692370367344', 'firstId': '4012820552', 'lastId': '4019818882', 'count': '6951744'}"
1,BTC/USDT:USDT,1692370377893,2023-08-18T14:52:57.893Z,28500.0,24581.0,,,,,26919.38,28406.7,26174.4,26174.4,,-2232.3,-7.858,27290.55,909619.063,24486378232.98,"{'symbol': 'BTCUSDT', 'priceChange': '-2232.30', 'priceChangePercent': '-7.858', 'weightedAvgPrice': '26919.38', 'lastPrice': '26174.40', 'lastQty': '0.001', 'openPrice': '28406.70', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '909619.063', 'quoteVolume': '24486378232.98', 'openTime': '1692283920000', 'closeTime': '1692370377893', 'firstId': '4012820552', 'lastId': '4019819793', 'count': '6952655'}"
2,BTC/USDT:USDT,1692370387558,2023-08-18T14:53:07.558Z,28500.0,24581.0,,,,,26918.71,28388.0,26183.0,26183.0,,-2205.0,-7.767,27285.5,909400.827,24479893567.76,"{'symbol': 'BTCUSDT', 'priceChange': '-2205.00', 'priceChangePercent': '-7.767', 'weightedAvgPrice': '26918.71', 'lastPrice': '26183.00', 'lastQty': '1.071', 'openPrice': '28388.00', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '909400.827', 'quoteVolume': '24479893567.76', 'openTime': '1692283980000', 'closeTime': '1692370387558', 'firstId': '4012824081', 'lastId': '4019820760', 'count': '6950093'}"
3,BTC/USDT:USDT,1692370397067,2023-08-18T14:53:17.067Z,28500.0,24581.0,,,,,26918.6,28388.0,26193.1,26193.1,,-2194.9,-7.732,27290.55,909535.527,24483421443.99,"{'symbol': 'BTCUSDT', 'priceChange': '-2194.90', 'priceChangePercent': '-7.732', 'weightedAvgPrice': '26918.60', 'lastPrice': '26193.10', 'lastQty': '0.001', 'openPrice': '28388.00', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '909535.527', 'quoteVolume': '24483421443.99', 'openTime': '1692283980000', 'closeTime': '1692370397067', 'firstId': '4012824081', 'lastId': '4019821488', 'count': '6950821'}"
4,BTC/USDT:USDT,1692370407851,2023-08-18T14:53:27.851Z,28500.0,24581.0,,,,,26918.37,28388.0,26164.3,26164.3,,-2223.7,-7.833,27276.15,909817.473,24490799612.65,"{'symbol': 'BTCUSDT', 'priceChange': '-2223.70', 'priceChangePercent': '-7.833', 'weightedAvgPrice': '26918.37', 'lastPrice': '26164.30', 'lastQty': '0.012', 'openPrice': '28388.00', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '909817.473', 'quoteVolume': '24490799612.65', 'openTime': '1692283980000', 'closeTime': '1692370407851', 'firstId': '4012824081', 'lastId': '4019823537', 'count': '6952870'}"
5,BTC/USDT:USDT,1692370417324,2023-08-18T14:53:37.324Z,28500.0,24581.0,,,,,26918.3,28388.0,26162.8,26162.8,,-2225.2,-7.839,27275.4,909899.167,24492937188.14,"{'symbol': 'BTCUSDT', 'priceChange': '-2225.20', 'priceChangePercent': '-7.839', 'weightedAvgPrice': '26918.30', 'lastPrice': '26162.80', 'lastQty': '0.007', 'openPrice': '28388.00', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '909899.167', 'quoteVolume': '24492937188.14', 'openTime': '1692283980000', 'closeTime': '1692370417324', 'firstId': '4012824081', 'lastId': '4019824447', 'count': '6953780'}"
6,BTC/USDT:USDT,1692370428182,2023-08-18T14:53:48.182Z,28500.0,24581.0,,,,,26917.2,28388.0,26125.2,26125.2,,-2262.8,-7.971,27256.6,911186.561,24526586670.65,"{'symbol': 'BTCUSDT', 'priceChange': '-2262.80', 'priceChangePercent': '-7.971', 'weightedAvgPrice': '26917.20', 'lastPrice': '26125.20', 'lastQty': '0.003', 'openPrice': '28388.00', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '911186.561', 'quoteVolume': '24526586670.65', 'openTime': '1692283980000', 'closeTime': '1692370428182', 'firstId': '4012824081', 'lastId': '4019830446', 'count': '6959779'}"
7,BTC/USDT:USDT,1692370438065,2023-08-18T14:53:58.065Z,28500.0,24581.0,,,,,26916.93,28388.0,26152.5,26152.5,,-2235.5,-7.875,27270.25,911492.48,24534583693.75,"{'symbol': 'BTCUSDT', 'priceChange': '-2235.50', 'priceChangePercent': '-7.875', 'weightedAvgPrice': '26916.93', 'lastPrice': '26152.50', 'lastQty': '0.019', 'openPrice': '28388.00', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '911492.480', 'quoteVolume': '24534583693.75', 'openTime': '1692283980000', 'closeTime': '1692370438065', 'firstId': '4012824081', 'lastId': '4019832311', 'count': '6961644'}"
8,BTC/USDT:USDT,1692370447793,2023-08-18T14:54:07.793Z,28500.0,24581.0,,,,,26916.32,28389.2,26126.3,26126.3,,-2262.9,-7.971,27257.75,911440.774,24532632898.5,"{'symbol': 'BTCUSDT', 'priceChange': '-2262.90', 'priceChangePercent': '-7.971', 'weightedAvgPrice': '26916.32', 'lastPrice': '26126.30', 'lastQty': '0.018', 'openPrice': '28389.20', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '911440.774', 'quoteVolume': '24532632898.50', 'openTime': '1692284040000', 'closeTime': '1692370447793', 'firstId': '4012826329', 'lastId': '4019834062', 'count': '6961147'}"
9,BTC/USDT:USDT,1692370457493,2023-08-18T14:54:17.493Z,28500.0,24581.0,,,,,26916.05,28389.2,26121.9,26121.9,,-2267.3,-7.986,27255.55,911757.135,24540897833.17,"{'symbol': 'BTCUSDT', 'priceChange': '-2267.30', 'priceChangePercent': '-7.986', 'weightedAvgPrice': '26916.05', 'lastPrice': '26121.90', 'lastQty': '0.003', 'openPrice': '28389.20', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '911757.135', 'quoteVolume': '24540897833.17', 'openTime': '1692284040000', 'closeTime': '1692370457493', 'firstId': '4012826329', 'lastId': '4019836666', 'count': '6963751'}"
10,BTC/USDT:USDT,1692370468218,2023-08-18T14:54:28.218Z,28500.0,24581.0,,,,,26915.84,28389.2,26135.8,26135.8,,-2253.4,-7.938,27262.5,911995.823,24547134160.46,"{'symbol': 'BTCUSDT', 'priceChange': '-2253.40', 'priceChangePercent': '-7.938', 'weightedAvgPrice': '26915.84', 'lastPrice': '26135.80', 'lastQty': '0.001', 'openPrice': '28389.20', 'highPrice': '28500.00', 'lowPrice': '24581.00', 'volume': '911995.823', 'quoteVolume': '24547134160.46', 'openTime': '1692284040000', 'closeTime': '1692370468218', 'firstId': '4012826329', 'lastId': '4019838555', 'count': '6965640'}"
