,clssifiers,BA,TN,FP,FN,TP
0,LogisticR_lbfgs,0.5161904761904762,51.0,54.0,34.0,41.0
1,LogisticR_liblinear,0.5161904761904762,51.0,54.0,34.0,41.0
2,LogisticR_newtonc,0.4704761904761905,89.0,16.0,68.0,7.0
3,LogisticR_newtonch,0.46761904761904755,94.0,11.0,72.0,3.0
4,DecisionTree,0.5428571428571428,93.0,12.0,60.0,15.0
5,NearestC,0.0,0.0,0.0,0.0,0.0
6,LDA_le,0.46761904761904755,94.0,11.0,72.0,3.0
7,QDA,0.5742857142857143,73.0,32.0,41.0,34.0
8,BernoulliNB,0.48380952380952374,54.0,51.0,41.0,34.0
9,GaussianNB,0.0,0.0,0.0,0.0,0.0
10,AdaBoost,0.5419047619047619,69.0,36.0,43.0,32.0
11,RandomForest,0.5323809523809524,48.0,57.0,31.0,44.0
12,KNN,0.5599999999999999,77.0,28.0,46.0,29.0
