,clssifiers,BA,TN,FP,FN,TP
0,LogisticR_lbfgs,0.34285714285714286,2.0,5.0,3.0,2.0
1,LogisticR_liblinear,0.34285714285714286,2.0,5.0,3.0,2.0
2,LogisticR_newtonc,0.5571428571428572,5.0,2.0,3.0,2.0
3,LogisticR_newtonch,0.5571428571428572,5.0,2.0,3.0,2.0
4,DecisionTree,0.6285717161792995,6.0,1.0,3.0,2.0
5,NearestC,0.0,0.0,0.0,0.0,0.0
6,LDA_le,0.49999999798038475,0.0,7.0,0.0,5.0
7,QDA,0.3823243322491587,6.0,1.0,5.0,0.0
8,BernoulliNB,0.6285714285714286,6.0,1.0,3.0,2.0
9,GaussianNB,0.0,0.0,0.0,0.0,0.0
10,AdaBoost,0.5285714285714286,6.0,1.0,4.0,1.0
11,RandomForest,0.7,6.0,1.0,4.0,1.0
12,KNN,0.6,7.0,0.0,4.0,1.0
