,clssifiers,BA,TN,FP,FN,TP
0,LogisticR_lbfgs,0.4841304347826087,44.0,48.0,51.0,49.0
1,LogisticR_liblinear,0.4841304347826087,44.0,48.0,51.0,49.0
2,LogisticR_newtonc,0.613695652173913,66.0,26.0,49.0,51.0
3,LogisticR_newtonch,0.4841304347826087,44.0,48.0,51.0,49.0
4,DecisionTree,0.5923416475631794,62.0,30.0,51.0,49.0
5,NearestC,0.0,0.0,0.0,0.0,0.0
6,LDA_le,0.516827884905711,56.0,36.0,49.0,51.0
7,QDA,0.5591014581714226,54.0,38.0,44.0,56.0
8,BernoulliNB,0.5572319473121228,54.0,38.0,44.0,56.0
9,GaussianNB,0.0,0.0,0.0,0.0,0.0
10,AdaBoost,0.591304347826087,72.0,20.0,60.0,40.0
11,RandomForest,0.6027603614706014,72.0,20.0,51.0,49.0
12,KNN,0.5253185889561812,63.0,29.0,61.0,39.0
