,clssifiers,BA,TN,FP,FN,TP
0,LogisticR_lbfgs,0.5854700854700855,5.0,4.0,5.0,8.0
1,LogisticR_liblinear,0.5854700854700855,5.0,4.0,5.0,8.0
2,LogisticR_newtonc,0.5598290598290598,8.0,1.0,10.0,3.0
3,LogisticR_newtonch,0.5598290598290598,8.0,1.0,10.0,3.0
4,DecisionTree,0.559117456486652,8.0,1.0,10.0,3.0
5,NearestC,0.0,0.0,0.0,0.0,0.0
6,LDA_le,0.5854700854700855,5.0,4.0,5.0,8.0
7,QDA,0.46153859623512467,9.0,0.0,12.0,1.0
8,BernoulliNB,0.5213675213675213,8.0,1.0,11.0,2.0
9,GaussianNB,0.0,0.0,0.0,0.0,0.0
10,AdaBoost,0.46329458157072023,2.0,7.0,2.0,11.0
11,RandomForest,0.717948717948718,4.0,5.0,6.0,7.0
12,KNN,0.3406670844593802,6.0,3.0,8.0,5.0
