,high,low,vwap,open,close,previousClose,change,percentage,average,baseVolume,quoteVolume
0,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.559,5382094398.49
1,29492.1,429233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
2,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
3,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
4,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
5,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
6,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
7,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
8,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
9,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
10,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
11,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
12,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
13,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
14,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
15,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.562,5382094486.45
16,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
17,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
18,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
19,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
20,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
21,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
22,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
23,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
24,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
25,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
26,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
27,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
28,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.601,5382095629.85
29,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
30,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
31,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
32,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
33,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
34,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
35,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
36,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
37,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
38,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
39,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
40,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
41,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
42,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
43,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.67,5382097652.79
44,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
45,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
46,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
47,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
48,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
49,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
50,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
51,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
52,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
53,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
54,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
55,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
56,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
57,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
58,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
59,29492.1,29233.0,29363.41,29420.3,29317.9,,-102.4,-0.348,29369.1,183292.869,5382103487.05
60,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
61,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
62,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
